node_id,values,exprs,parent_values,parent_exprs,parent_id,depth
0,"(4, 1, 6, 6)","('4', '1', '6', '6')",,,,0
1,"(6, 6, 5)","('6', '6', '(4+1)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
2,"(6, 6, 3)","('6', '6', '(4-1)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
3,"(6, 6, -3)","('6', '6', '(1-4)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
4,"(6, 6, 4)","('6', '6', '(4*1)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
5,"(6, 6, 4.0)","('6', '6', '(4/1)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
6,"(6, 6, 0.25)","('6', '6', '(1/4)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
7,"(1, 6, 10)","('1', '6', '(4+6)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
8,"(1, 6, -2)","('1', '6', '(4-6)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
9,"(1, 6, 2)","('1', '6', '(6-4)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
10,"(1, 6, 24)","('1', '6', '(4*6)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
11,"(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
12,"(1, 6, 1.5)","('1', '6', '(6/4)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
13,"(6, 6, 5)","('6', '6', '(1+4)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
14,"(6, 6, 4)","('6', '6', '(1*4)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
15,"(4, 6, 7)","('4', '6', '(1+6)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
16,"(4, 6, -5)","('4', '6', '(1-6)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
17,"(4, 6, 5)","('4', '6', '(6-1)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
18,"(4, 6, 6)","('4', '6', '(1*6)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
19,"(4, 6, 0.16666666666666666)","('4', '6', '(1/6)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
20,"(4, 6, 6.0)","('4', '6', '(6/1)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
21,"(1, 6, 10)","('1', '6', '(6+4)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
22,"(1, 6, 24)","('1', '6', '(6*4)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
23,"(4, 6, 7)","('4', '6', '(6+1)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
24,"(4, 6, 6)","('4', '6', '(6*1)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
25,"(4, 1, 12)","('4', '1', '(6+6)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
26,"(4, 1, 0)","('4', '1', '(6-6)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
27,"(4, 1, 36)","('4', '1', '(6*6)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
28,"(4, 1, 1.0)","('4', '1', '(6/6)')","(4, 1, 6, 6)","('4', '1', '6', '6')",0.0,1
29,"(5, 12)","('(4+1)', '(6+6)')","(6, 6, 5)","('6', '6', '(4+1)')",1.0,2
30,"(5, 0)","('(4+1)', '(6-6)')","(6, 6, 5)","('6', '6', '(4+1)')",1.0,2
31,"(5, 36)","('(4+1)', '(6*6)')","(6, 6, 5)","('6', '6', '(4+1)')",1.0,2
32,"(5, 1.0)","('(4+1)', '(6/6)')","(6, 6, 5)","('6', '6', '(4+1)')",1.0,2
33,"(6, 11)","('6', '(6+(4+1))')","(6, 6, 5)","('6', '6', '(4+1)')",1.0,2
34,"(6, 1)","('6', '(6-(4+1))')","(6, 6, 5)","('6', '6', '(4+1)')",1.0,2
35,"(6, -1)","('6', '((4+1)-6)')","(6, 6, 5)","('6', '6', '(4+1)')",1.0,2
36,"(6, 30)","('6', '(6*(4+1))')","(6, 6, 5)","('6', '6', '(4+1)')",1.0,2
37,"(6, 1.2)","('6', '(6/(4+1))')","(6, 6, 5)","('6', '6', '(4+1)')",1.0,2
38,"(6, 0.8333333333333334)","('6', '((4+1)/6)')","(6, 6, 5)","('6', '6', '(4+1)')",1.0,2
39,"(6, 11)","('6', '((4+1)+6)')","(6, 6, 5)","('6', '6', '(4+1)')",1.0,2
40,"(6, 30)","('6', '((4+1)*6)')","(6, 6, 5)","('6', '6', '(4+1)')",1.0,2
41,"(3, 12)","('(4-1)', '(6+6)')","(6, 6, 3)","('6', '6', '(4-1)')",2.0,2
42,"(3, 0)","('(4-1)', '(6-6)')","(6, 6, 3)","('6', '6', '(4-1)')",2.0,2
43,"(3, 36)","('(4-1)', '(6*6)')","(6, 6, 3)","('6', '6', '(4-1)')",2.0,2
44,"(3, 1.0)","('(4-1)', '(6/6)')","(6, 6, 3)","('6', '6', '(4-1)')",2.0,2
45,"(6, 9)","('6', '(6+(4-1))')","(6, 6, 3)","('6', '6', '(4-1)')",2.0,2
46,"(6, 3)","('6', '(6-(4-1))')","(6, 6, 3)","('6', '6', '(4-1)')",2.0,2
47,"(6, -3)","('6', '((4-1)-6)')","(6, 6, 3)","('6', '6', '(4-1)')",2.0,2
48,"(6, 18)","('6', '(6*(4-1))')","(6, 6, 3)","('6', '6', '(4-1)')",2.0,2
49,"(6, 2.0)","('6', '(6/(4-1))')","(6, 6, 3)","('6', '6', '(4-1)')",2.0,2
50,"(6, 0.5)","('6', '((4-1)/6)')","(6, 6, 3)","('6', '6', '(4-1)')",2.0,2
51,"(6, 9)","('6', '((4-1)+6)')","(6, 6, 3)","('6', '6', '(4-1)')",2.0,2
52,"(6, 18)","('6', '((4-1)*6)')","(6, 6, 3)","('6', '6', '(4-1)')",2.0,2
53,"(-3, 12)","('(1-4)', '(6+6)')","(6, 6, -3)","('6', '6', '(1-4)')",3.0,2
54,"(-3, 0)","('(1-4)', '(6-6)')","(6, 6, -3)","('6', '6', '(1-4)')",3.0,2
55,"(-3, 36)","('(1-4)', '(6*6)')","(6, 6, -3)","('6', '6', '(1-4)')",3.0,2
56,"(-3, 1.0)","('(1-4)', '(6/6)')","(6, 6, -3)","('6', '6', '(1-4)')",3.0,2
57,"(6, 3)","('6', '(6+(1-4))')","(6, 6, -3)","('6', '6', '(1-4)')",3.0,2
58,"(6, 9)","('6', '(6-(1-4))')","(6, 6, -3)","('6', '6', '(1-4)')",3.0,2
59,"(6, -9)","('6', '((1-4)-6)')","(6, 6, -3)","('6', '6', '(1-4)')",3.0,2
60,"(6, -18)","('6', '(6*(1-4))')","(6, 6, -3)","('6', '6', '(1-4)')",3.0,2
61,"(6, -2.0)","('6', '(6/(1-4))')","(6, 6, -3)","('6', '6', '(1-4)')",3.0,2
62,"(6, -0.5)","('6', '((1-4)/6)')","(6, 6, -3)","('6', '6', '(1-4)')",3.0,2
63,"(6, 3)","('6', '((1-4)+6)')","(6, 6, -3)","('6', '6', '(1-4)')",3.0,2
64,"(6, -18)","('6', '((1-4)*6)')","(6, 6, -3)","('6', '6', '(1-4)')",3.0,2
65,"(4, 12)","('(4*1)', '(6+6)')","(6, 6, 4)","('6', '6', '(4*1)')",4.0,2
66,"(4, 0)","('(4*1)', '(6-6)')","(6, 6, 4)","('6', '6', '(4*1)')",4.0,2
67,"(4, 36)","('(4*1)', '(6*6)')","(6, 6, 4)","('6', '6', '(4*1)')",4.0,2
68,"(4, 1.0)","('(4*1)', '(6/6)')","(6, 6, 4)","('6', '6', '(4*1)')",4.0,2
69,"(6, 10)","('6', '(6+(4*1))')","(6, 6, 4)","('6', '6', '(4*1)')",4.0,2
70,"(6, 2)","('6', '(6-(4*1))')","(6, 6, 4)","('6', '6', '(4*1)')",4.0,2
71,"(6, -2)","('6', '((4*1)-6)')","(6, 6, 4)","('6', '6', '(4*1)')",4.0,2
72,"(6, 24)","('6', '(6*(4*1))')","(6, 6, 4)","('6', '6', '(4*1)')",4.0,2
73,"(6, 1.5)","('6', '(6/(4*1))')","(6, 6, 4)","('6', '6', '(4*1)')",4.0,2
74,"(6, 0.6666666666666666)","('6', '((4*1)/6)')","(6, 6, 4)","('6', '6', '(4*1)')",4.0,2
75,"(6, 10)","('6', '((4*1)+6)')","(6, 6, 4)","('6', '6', '(4*1)')",4.0,2
76,"(6, 24)","('6', '((4*1)*6)')","(6, 6, 4)","('6', '6', '(4*1)')",4.0,2
77,"(4.0, 12)","('(4/1)', '(6+6)')","(6, 6, 4.0)","('6', '6', '(4/1)')",5.0,2
78,"(4.0, 0)","('(4/1)', '(6-6)')","(6, 6, 4.0)","('6', '6', '(4/1)')",5.0,2
79,"(4.0, 36)","('(4/1)', '(6*6)')","(6, 6, 4.0)","('6', '6', '(4/1)')",5.0,2
80,"(4.0, 1.0)","('(4/1)', '(6/6)')","(6, 6, 4.0)","('6', '6', '(4/1)')",5.0,2
81,"(6, 10.0)","('6', '(6+(4/1))')","(6, 6, 4.0)","('6', '6', '(4/1)')",5.0,2
82,"(6, 2.0)","('6', '(6-(4/1))')","(6, 6, 4.0)","('6', '6', '(4/1)')",5.0,2
83,"(6, -2.0)","('6', '((4/1)-6)')","(6, 6, 4.0)","('6', '6', '(4/1)')",5.0,2
84,"(6, 24.0)","('6', '(6*(4/1))')","(6, 6, 4.0)","('6', '6', '(4/1)')",5.0,2
85,"(6, 1.5)","('6', '(6/(4/1))')","(6, 6, 4.0)","('6', '6', '(4/1)')",5.0,2
86,"(6, 0.6666666666666666)","('6', '((4/1)/6)')","(6, 6, 4.0)","('6', '6', '(4/1)')",5.0,2
87,"(6, 10.0)","('6', '((4/1)+6)')","(6, 6, 4.0)","('6', '6', '(4/1)')",5.0,2
88,"(6, 24.0)","('6', '((4/1)*6)')","(6, 6, 4.0)","('6', '6', '(4/1)')",5.0,2
89,"(0.25, 12)","('(1/4)', '(6+6)')","(6, 6, 0.25)","('6', '6', '(1/4)')",6.0,2
90,"(0.25, 0)","('(1/4)', '(6-6)')","(6, 6, 0.25)","('6', '6', '(1/4)')",6.0,2
91,"(0.25, 36)","('(1/4)', '(6*6)')","(6, 6, 0.25)","('6', '6', '(1/4)')",6.0,2
92,"(0.25, 1.0)","('(1/4)', '(6/6)')","(6, 6, 0.25)","('6', '6', '(1/4)')",6.0,2
93,"(6, 6.25)","('6', '(6+(1/4))')","(6, 6, 0.25)","('6', '6', '(1/4)')",6.0,2
94,"(6, 5.75)","('6', '(6-(1/4))')","(6, 6, 0.25)","('6', '6', '(1/4)')",6.0,2
95,"(6, -5.75)","('6', '((1/4)-6)')","(6, 6, 0.25)","('6', '6', '(1/4)')",6.0,2
96,"(6, 1.5)","('6', '(6*(1/4))')","(6, 6, 0.25)","('6', '6', '(1/4)')",6.0,2
97,"(6, 24.0)","('6', '(6/(1/4))')","(6, 6, 0.25)","('6', '6', '(1/4)')",6.0,2
98,"(6, 0.041666666666666664)","('6', '((1/4)/6)')","(6, 6, 0.25)","('6', '6', '(1/4)')",6.0,2
99,"(6, 6.25)","('6', '((1/4)+6)')","(6, 6, 0.25)","('6', '6', '(1/4)')",6.0,2
100,"(6, 1.5)","('6', '((1/4)*6)')","(6, 6, 0.25)","('6', '6', '(1/4)')",6.0,2
101,"(10, 7)","('(4+6)', '(1+6)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
102,"(10, -5)","('(4+6)', '(1-6)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
103,"(10, 5)","('(4+6)', '(6-1)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
104,"(10, 6)","('(4+6)', '(1*6)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
105,"(10, 0.16666666666666666)","('(4+6)', '(1/6)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
106,"(10, 6.0)","('(4+6)', '(6/1)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
107,"(6, 11)","('6', '(1+(4+6))')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
108,"(6, -9)","('6', '(1-(4+6))')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
109,"(6, 9)","('6', '((4+6)-1)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
110,"(6, 10)","('6', '(1*(4+6))')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
111,"(6, 0.1)","('6', '(1/(4+6))')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
112,"(6, 10.0)","('6', '((4+6)/1)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
113,"(10, 7)","('(4+6)', '(6+1)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
114,"(10, 6)","('(4+6)', '(6*1)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
115,"(1, 16)","('1', '(6+(4+6))')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
116,"(1, -4)","('1', '(6-(4+6))')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
117,"(1, 4)","('1', '((4+6)-6)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
118,"(1, 60)","('1', '(6*(4+6))')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
119,"(1, 0.6)","('1', '(6/(4+6))')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
120,"(1, 1.6666666666666667)","('1', '((4+6)/6)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
121,"(6, 11)","('6', '((4+6)+1)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
122,"(6, 10)","('6', '((4+6)*1)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
123,"(1, 16)","('1', '((4+6)+6)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
124,"(1, 60)","('1', '((4+6)*6)')","(1, 6, 10)","('1', '6', '(4+6)')",7.0,2
125,"(-2, 7)","('(4-6)', '(1+6)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
126,"(-2, -5)","('(4-6)', '(1-6)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
127,"(-2, 5)","('(4-6)', '(6-1)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
128,"(-2, 6)","('(4-6)', '(1*6)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
129,"(-2, 0.16666666666666666)","('(4-6)', '(1/6)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
130,"(-2, 6.0)","('(4-6)', '(6/1)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
131,"(6, -1)","('6', '(1+(4-6))')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
132,"(6, 3)","('6', '(1-(4-6))')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
133,"(6, -3)","('6', '((4-6)-1)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
134,"(6, -2)","('6', '(1*(4-6))')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
135,"(6, -0.5)","('6', '(1/(4-6))')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
136,"(6, -2.0)","('6', '((4-6)/1)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
137,"(-2, 7)","('(4-6)', '(6+1)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
138,"(-2, 6)","('(4-6)', '(6*1)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
139,"(1, 4)","('1', '(6+(4-6))')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
140,"(1, 8)","('1', '(6-(4-6))')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
141,"(1, -8)","('1', '((4-6)-6)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
142,"(1, -12)","('1', '(6*(4-6))')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
143,"(1, -3.0)","('1', '(6/(4-6))')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
144,"(1, -0.3333333333333333)","('1', '((4-6)/6)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
145,"(6, -1)","('6', '((4-6)+1)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
146,"(6, -2)","('6', '((4-6)*1)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
147,"(1, 4)","('1', '((4-6)+6)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
148,"(1, -12)","('1', '((4-6)*6)')","(1, 6, -2)","('1', '6', '(4-6)')",8.0,2
149,"(2, 7)","('(6-4)', '(1+6)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
150,"(2, -5)","('(6-4)', '(1-6)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
151,"(2, 5)","('(6-4)', '(6-1)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
152,"(2, 6)","('(6-4)', '(1*6)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
153,"(2, 0.16666666666666666)","('(6-4)', '(1/6)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
154,"(2, 6.0)","('(6-4)', '(6/1)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
155,"(6, 3)","('6', '(1+(6-4))')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
156,"(6, -1)","('6', '(1-(6-4))')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
157,"(6, 1)","('6', '((6-4)-1)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
158,"(6, 2)","('6', '(1*(6-4))')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
159,"(6, 0.5)","('6', '(1/(6-4))')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
160,"(6, 2.0)","('6', '((6-4)/1)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
161,"(2, 7)","('(6-4)', '(6+1)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
162,"(2, 6)","('(6-4)', '(6*1)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
163,"(1, 8)","('1', '(6+(6-4))')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
164,"(1, 4)","('1', '(6-(6-4))')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
165,"(1, -4)","('1', '((6-4)-6)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
166,"(1, 12)","('1', '(6*(6-4))')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
167,"(1, 3.0)","('1', '(6/(6-4))')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
168,"(1, 0.3333333333333333)","('1', '((6-4)/6)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
169,"(6, 3)","('6', '((6-4)+1)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
170,"(6, 2)","('6', '((6-4)*1)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
171,"(1, 8)","('1', '((6-4)+6)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
172,"(1, 12)","('1', '((6-4)*6)')","(1, 6, 2)","('1', '6', '(6-4)')",9.0,2
173,"(24, 7)","('(4*6)', '(1+6)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
174,"(24, -5)","('(4*6)', '(1-6)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
175,"(24, 5)","('(4*6)', '(6-1)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
176,"(24, 6)","('(4*6)', '(1*6)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
177,"(24, 0.16666666666666666)","('(4*6)', '(1/6)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
178,"(24, 6.0)","('(4*6)', '(6/1)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
179,"(6, 25)","('6', '(1+(4*6))')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
180,"(6, -23)","('6', '(1-(4*6))')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
181,"(6, 23)","('6', '((4*6)-1)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
182,"(6, 24)","('6', '(1*(4*6))')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
183,"(6, 0.041666666666666664)","('6', '(1/(4*6))')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
184,"(6, 24.0)","('6', '((4*6)/1)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
185,"(24, 7)","('(4*6)', '(6+1)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
186,"(24, 6)","('(4*6)', '(6*1)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
187,"(1, 30)","('1', '(6+(4*6))')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
188,"(1, -18)","('1', '(6-(4*6))')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
189,"(1, 18)","('1', '((4*6)-6)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
190,"(1, 144)","('1', '(6*(4*6))')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
191,"(1, 0.25)","('1', '(6/(4*6))')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
192,"(1, 4.0)","('1', '((4*6)/6)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
193,"(6, 25)","('6', '((4*6)+1)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
